gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	svalue_shrink	log2FC_shrink	comparison	samples_i	samples_j	gene_name	is_signif_pos	is_signif_neg	is_signif_any
Anogam_AGAP003611	45.5904041035487	-1.41969606989275	0.667848417357986	-2.12577589913155	0.0335219236949045	0.0725076045106849	0.0060899745068981	-1.11646287671259	Bulk.Fem-Mal	Fem	Mal	Fatty acyl-CoA reductase	FALSE	FALSE	FALSE
Anogam_AGAP004784	869.475920624241	-0.277005168939625	0.437670075220126	-0.632908632833317	0.526793309994048	0.647938182200526	0.0576031569091217	-0.234800972515585	Bulk.Fem-Mal	Fem	Mal	fatty acyl-CoA reductase 2	FALSE	FALSE	FALSE
Anogam_AGAP004787	3686.22816038324	0.192398856281745	0.362853136070928	0.530238923563104	0.595946287104849	0.707738749989115	0.0673260744186899	0.171738450044456	Bulk.Fem-Mal	Fem	Mal	Fatty acyl-CoA reductase	FALSE	FALSE	FALSE
Anogam_AGAP005515	76.6962101027776	-5.02120736028731	1.02422390298257	-4.9024508661294	9.46482932023345e-07	5.70989805664851e-06	4.63033091099458e-07	-4.61164012131457	Bulk.Fem-Mal	Fem	Mal	Fatty acyl-CoA reductase	FALSE	TRUE	TRUE
Anogam_AGAP005984	3126.59158360362	-0.0359117047974103	0.28581373501838	-0.125647232436541	0.900011173121333	0.934331282144806	0.135604126934613	-0.0331538083315764	Bulk.Fem-Mal	Fem	Mal	fatty acyl-CoA reductase 2	FALSE	FALSE	FALSE
Anogam_AGAP005985	707.443012603513	0.80344589080203	0.398513564162987	2.01610676035466	0.043788813293167	0.0908132531843513	0.00430931611140982	0.715067425886358	Bulk.Fem-Mal	Fem	Mal	fatty acyl-CoA reductase 2	FALSE	FALSE	FALSE
Anogam_AGAP005986	1970.47413017233	0.300335698277955	0.310388351317875	0.967612660084575	0.333237852137183	0.458849176614077	0.0316210539413462	0.276663073417129	Bulk.Fem-Mal	Fem	Mal	fatty acyl-CoA reductase 2	FALSE	FALSE	FALSE
Anogam_AGAP009690	22.2724611316003	-0.686905892843432	0.820926804241619	-0.836744383657935	0.402736265305161	0.530467789819322	0.0526191627696851	-0.429626271408338	Bulk.Fem-Mal	Fem	Mal	Fatty acyl-CoA reductase (Fragment)	FALSE	FALSE	FALSE
Anogam_AGAP010785	0.373692420908056	-2.120436462024	4.03332808495324	-0.525728732540879	0.599076697406002	NA	0.124426419362926	-0.170675222784954	Bulk.Fem-Mal	Fem	Mal	fatty acyl CoA reductase 2	FALSE	FALSE	FALSE
Anogam_AGAP010850	57.2874077557086	-9.38754547795883	1.33409395964238	-7.03664491553148	1.96923834254866e-12	2.35429833488475e-11	3.49635647310238e-05	-10.3737194184864	Bulk.Fem-Mal	Fem	Mal	Fatty acyl-CoA reductase (Fragment)	FALSE	TRUE	TRUE
