event	freq_diff	mean_logtpm	pval	pval.corr	comparison	group.i	group.j	mean_freq.i	mean_freq.j
Anogam_AGAP004859-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004860-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004861-RA	0	0.259973270554256	0.098703888334995	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004864-RA	0	0.972418448424069	0.10568295114656	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004865-RA	0	1.54366241976251	0.102193419740778	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004866-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004868-RA	0	0.520226087333371	0.108175473579262	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004869-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004872-RA	0	-0.0650905713397705	0.117148554336989	0.118342002644349	OeCa A	Oe	Ca	1	1
Anogam_AGAP004873-RA	0	1.76135736187724	0.0817547357926222	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004874-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004875-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004878-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004882-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004884-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004886-RA	-0.0259310535447792	-0.0707707846065969	0.0807577268195414	0.117523816438212	OeCa A	Oe	Ca	0.0437413052345623	0.0696723587793415
Anogam_AGAP004886-RB	0.0259310535447792	-Inf	0.0516898608349901	0.117523816438212	OeCa A	Oe	Ca	0.956258694765438	0.930327641220658
Anogam_AGAP004887-RA	0	0.482048309181654	0.107676969092722	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004889-RA	0	0.574503315455007	0.107676969092722	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004891-RA	0	1.00909431866849	0.119142572283151	0.119695827033779	OeCa A	Oe	Ca	1	1
Anogam_AGAP004893-RA	0	0.834214271501514	0.0992023928215354	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004894-RA	0	1.82841032634084	0.0887337986041875	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004895-RA	0	-0.206842268860233	0.10568295114656	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004896-RA	-0.159222669649846	0.659141177636598	0.0279162512462612	0.117523816438212	OeCa A	Oe	Ca	0.833333333333333	0.992556002983179
Anogam_AGAP004896-RB	0.159222669649846	1.06066060059528	0.0274177467597209	0.117523816438212	OeCa A	Oe	Ca	0.166666666666667	0.00744399701682067
Anogam_AGAP028438-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004900-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004901-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004903-RA	0	-Inf	0.0725646123260437	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004908-RA	0	0.131493037893468	0.0887337986041875	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004910-RA	0	0.995828173120879	0.102691924227318	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004911-RA	0	0.375134659256503	0.10518444666002	0.117523816438212	OeCa A	Oe	Ca	1	1
Anogam_AGAP004916-RA	0	1.03692666333256	0.115653040877368	0.117873645302494	OeCa A	Oe	Ca	1	1
